Feature	Feature Systematic Name	Feature Type	Coordinates	Strand
RCI50	YKL133C	ORF	191679-193070	-
RMA1	YKL132C	ORF	193574-194866	-
YKL131W	YKL131W	ORF	194478-194999	+
SHE2	YKL130C	ORF	195288-196028	-
ARS1126	ARS1126	ARS	196042-196287	0
MYO3	YKL129C	ORF	196349-200167	-
PMU1	YKL128C	ORF	200884-201771	-
YKLCsigma1	YKLCsigma1	long terminal repeat	202644-202983	-
YNCK0007W	YNCK0007W	tRNA gene	202999-203071	+
PGM1	YKL127W	ORF	203541-205253	+
YPK1	YKL126W	ORF	205707-207749	+
RRN3	YKL125W	ORF	208247-210130	+
SSH4	YKL124W	ORF	210593-212332	+
YKL123W	YKL123W	ORF	212043-212423	+
SRP21	YKL122C	ORF	212495-212998	-
ARS1127	ARS1127	ARS	213439-213743	0
DGR2	YKL121W	ORF	214142-216700	+
OAC1	YKL120W	ORF	217344-218318	+
VPH2	YKL119C	ORF	218570-219217	-
YKL118W	YKL118W	ORF	219126-219437	+
YKLCdelta4	YKLCdelta4	long terminal repeat	219395-219723	-
YNCK0008W	YNCK0008W	tRNA gene	219895-219967	+
SBA1	YKL117W	ORF	220324-220974	+
PRR1	YKL116C	ORF	221344-222900	-
YKL115C	YKL115C	ORF	222893-223285	-
APN1	YKL114C	ORF	223352-224455	-
RAD27	YKL113C	ORF	224727-225875	-
ABF1	YKL112W	ORF	226570-228765	+
YKL111C	YKL111C	ORF	228464-228799	-
KTI12	YKL110C	ORF	228939-229880	-
HAP4	YKL109W	ORF	232227-233891	+
SLD2	YKL108W	ORF	234426-235787	+
YKL107W	YKL107W	ORF	236141-237070	+
YKL106C-A	YKL106C-A	ORF	237147-237266	-
AAT1	YKL106W	ORF	237536-238891	+
SEG2	YKL105C	ORF	239185-242583	-
GFA1	YKL104C	ORF	243220-245373	-
YKL104W-A	YKL104W-A	ORF	245032-245286	+
APE1	YKL103C	ORF	246138-247682	-
YKL102C	YKL102C	ORF	248062-248367	-
HSL1	YKL101W	ORF	248920-253476	+
YPF1	YKL100C	ORF	253697-255460	-
YKL100W-A	YKL100W-A	ORF	254159-254248	+
UTP11	YKL099C	ORF	255720-256472	-
MTC2	YKL098W	ORF	256770-257843	+
YKL097C	YKL097C	ORF	258503-258913	-
YKL096C-B	YKL096C-B	ORF	259073-259222	-
CWP2	YKL096W-A	ORF	259253-259531	+
CWP1	YKL096W	ORF	261132-261851	+
YJU2	YKL095W	ORF	262277-263113	+
YJU3	YKL094W	ORF	263349-264290	+
MBR1	YKL093W	ORF	264789-265808	+
BUD2	YKL092C	ORF	266145-269459	-
YKL091C	YKL091C	ORF	269718-270650	-
CUE2	YKL090W	ORF	271878-273209	+
MIF2	YKL089W	ORF	273394-275043	+
CAB3	YKL088W	ORF	275283-276998	+
CYT2	YKL087C	ORF	277189-277863	-
SRX1	YKL086W	ORF	278281-278664	+
MDH1	YKL085W	ORF	279123-280127	+
HOT13	YKL084W	ORF	280509-280859	+
YKL083W	YKL083W	ORF	280921-281535	+
RRP14	YKL082C	ORF	281025-282329	-
TEF4	YKL081W	ORF	282891-284455	+
SNR38	YNCK0009W	snoRNA gene	283185-283279	+
VMA5	YKL080W	ORF	285030-286208	+
SMY1	YKL079W	ORF	286603-288573	+
DHR2	YKL078W	ORF	288845-291052	+
PSG1	YKL077W	ORF	291453-292631	+
PSY1	YKL076C	ORF	292838-293221	-
AAN1	YKL075C	ORF	292956-294308	-
MUD2	YKL074C	ORF	294610-296193	-
LHS1	YKL073W	ORF	296430-299075	+
STB6	YKL072W	ORF	299582-301882	+
YKLCdelta5	YKLCdelta5	long terminal repeat	302334-302625	-
YNCK0010W	YNCK0010W	tRNA gene	302918-303023	+
OSI1	YKL071W	ORF	305114-305884	+
YKL070W	YKL070W	ORF	306211-306720	+
YKL069W	YKL069W	ORF	307285-307827	+
YNCK0011C	YNCK0011C	tRNA gene	308144-308217	-
YKL068W-A	YKL068W-A	ORF	309206-309442	+
NUP100	YKL068W	ORF	310199-313078	+
YNCK0012C	YNCK0012C	tRNA gene	313401-313472	-
YKLCdelta6	YKLCdelta6	long terminal repeat	313602-313919	-
YKLWdelta7	YKLWdelta7	long terminal repeat	314193-314524	+
YNK1	YKL067W	ORF	314812-315273	+
YKL066W	YKL066W	ORF	315281-315724	+
DPC7	YKL065W-A	ORF	315954-316175	+
YET1	YKL065C	ORF	316437-317057	-
MNR2	YKL064W	ORF	317764-320673	+
YKL063C	YKL063C	ORF	321015-321518	-
MSN4	YKL062W	ORF	323228-325120	+
BLI1	YKL061W	ORF	325771-326112	+
FBA1	YKL060C	ORF	326408-327487	-
MPE1	YKL059C	ORF	328118-329443	-
ARS1109	ARS1109	ARS	329682-329930	0
TOA2	YKL058W	ORF	330166-330534	+
NUP120	YKL057C	ORF	330856-333969	-
TMA19	YKL056C	ORF	334412-334915	-
OAR1	YKL055C	ORF	335321-336157	-
DEF1	YKL054C	ORF	336537-338753	-
MDM35	YKL053C-A	ORF	339182-339442	-
YKL053W	YKL053W	ORF	339572-339946	+
ASK1	YKL052C	ORF	339668-340546	-
SFK1	YKL051W	ORF	341312-342373	+
LPX2	YKL050C	ORF	342852-345620	-
CSE4	YKL049C	ORF	346075-346764	-
ELM1	YKL048C	ORF	347214-349136	-
ANR2	YKL047W	ORF	349463-351013	+
DCW1	YKL046C	ORF	351275-352624	-
PRI2	YKL045W	ORF	353493-355079	+
MMO1	YKL044W	ORF	356322-356642	+
PHD1	YKL043W	ORF	356748-357848	+
SPC42	YKL042W	ORF	358475-359566	+
VPS24	YKL041W	ORF	360143-360817	+
NFU1	YKL040C	ORF	361058-361828	-
PTM1	YKL039W	ORF	362622-364193	+
SNR69	YNCK0013W	snoRNA gene	364776-364876	+
RGT1	YKL038W	ORF	365605-369117	+
AIM26	YKL037W	ORF	369365-369721	+
YKL036C	YKL036C	ORF	369528-369920	-
UGP1	YKL035W	ORF	369891-371390	+
TUL1	YKL034W	ORF	371829-374105	+
YKL033W-A	YKL033W-A	ORF	374505-375215	+
TTI1	YKL033W	ORF	375456-378572	+
YNCK0014W	YNCK0014W	tRNA gene	379680-379753	+
IXR1	YKL032C	ORF	380065-381858	-
YKL031W	YKL031W	ORF	382072-382485	+
YKL030W	YKL030W	ORF	382498-383103	+
MAE1	YKL029C	ORF	382716-384725	-
TFA1	YKL028W	ORF	385758-387206	+
TCD2	YKL027W	ORF	387562-388905	+
ARS1112	ARS1112	ARS	388970-389264	0
GPX1	YKL026C	ORF	389380-389883	-
PAN3	YKL025C	ORF	390240-392279	-
URA6	YKL024C	ORF	392526-393140	-
MIN9	YKL023C-A	ORF	393146-393373	-
SKA1	YKL023W	ORF	393721-394554	+
CDC16	YKL022C	ORF	394726-397248	-
MAK11	YKL021C	ORF	397344-398750	-
SPT23	YKL020C	ORF	398832-402080	-
RAM2	YKL019W	ORF	402568-403518	+
MCO12	YKL018C-A	ORF	403580-403879	-
SWD2	YKL018W	ORF	404102-405091	+
HCS1	YKL017C	ORF	405190-407241	-
ATP7	YKL016C	ORF	407465-407989	-
PUT3	YKL015W	ORF	408544-411483	+
URB1	YKL014C	ORF	411619-416913	-
ARS1113	ARS1113	ARS	417185-417417	0
ARC19	YKL013C	ORF	417508-418023	-
PRP40	YKL012W	ORF	418310-420061	+
CCE1	YKL011C	ORF	420155-421216	-
UFD4	YKL010C	ORF	421424-425875	-
MRT4	YKL009W	ORF	426242-426952	+
LAC1	YKL008C	ORF	427295-428551	-
CAP1	YKL007W	ORF	429302-430108	+
SFT1	YKL006C-A	ORF	430198-430632	-
SNR87	YNCK0015C	snoRNA gene	431030-431138	-
RPL14A	YKL006W	ORF	431906-432720	+
BYE1	YKL005C	ORF	433093-434877	-
AUR1	YKL004W	ORF	435580-436785	+
MRP17	YKL003C	ORF	437097-437492	-
DID4	YKL002W	ORF	437778-438544	+
MET14	YKL001C	ORF	438777-439385	-
CEN11	CEN11	centromere	440129-440246	-
VPS1	YKR001C	ORF	440608-442722	-
PAP1	YKR002W	ORF	443232-444938	+
OSH6	YKR003W	ORF	445381-446727	+
ECM9	YKR004C	ORF	446799-448036	-
ARS1114	ARS1114	ARS	448020-448254	0
YKR005C	YKR005C	ORF	448521-450167	-
MRPL13	YKR006C	ORF	450423-451217	-
MEH1	YKR007W	ORF	451434-451988	+
RSC4	YKR008W	ORF	452201-454078	+
FOX2	YKR009C	ORF	454352-457054	-
YKRCdelta8	YKRCdelta8	long terminal repeat	458140-458471	-
YNCK0016W	YNCK0016W	tRNA gene	458557-458670	+
TOF2	YKR010C	ORF	458924-461239	-
YKR011C	YKR011C	ORF	461635-462696	-
ARS1115	ARS1115	ARS	462699-463742	0
YKR012C	YKR012C	ORF	463739-464116	-
PRY2	YKR013W	ORF	463959-464948	+
YPT52	YKR014C	ORF	465367-466071	-
YKR015C	YKR015C	ORF	466961-468667	-
MIC60	YKR016W	ORF	469717-471339	+
HEL1	YKR017C	ORF	471694-473349	-
YKR018C	YKR018C	ORF	473723-475900	-
IRS4	YKR019C	ORF	476216-478063	-
VPS51	YKR020W	ORF	478338-478832	+
ALY1	YKR021W	ORF	479234-481981	+
NTR2	YKR022C	ORF	482171-483139	-
RQT4	YKR023W	ORF	483419-485011	+
DBP7	YKR024C	ORF	485144-487372	-
RPC37	YKR025W	ORF	487770-488618	+
GCN3	YKR026C	ORF	488738-489655	-
YKRCdelta9	YKRCdelta9	long terminal repeat	490286-490416	-
YKRWdelta10	YKRWdelta10	long terminal repeat	490464-490787	+
YNCK0017W	YNCK0017W	tRNA gene	490968-491040	+
BCH2	YKR027W	ORF	491364-493661	+
SAP190	YKR028W	ORF	494257-497358	+
SET3	YKR029C	ORF	497578-499833	-
GMH1	YKR030W	ORF	500282-501103	+
SPO14	YKR031C	ORF	501344-506395	-
YKR032W	YKR032W	ORF	506517-506831	+
YKR033C	YKR033C	ORF	506879-507304	-
DAL80	YKR034W	ORF	506898-507707	+
OPI8	YKR035C	ORF	507920-508561	-
DID2	YKR035W-A	ORF	507939-508553	+
CAF4	YKR036C	ORF	508702-510633	-
SPC34	YKR037C	ORF	510910-511797	-
KAE1	YKR038C	ORF	511999-513159	-
YNCK0018C	YNCK0018C	tRNA gene	513332-513403	-
YKRCdelta11	YKRCdelta11	long terminal repeat	513532-513846	-
GAP1	YKR039W	ORF	515063-516871	+
ARS1116	ARS1116	ARS	517017-517265	0
YKRCdelta12	YKRCdelta12	long terminal repeat	517453-517784	-
YNCK0019W	YNCK0019W	tRNA gene	517988-518060	+
YKR040C	YKR040C	ORF	518063-518566	-
YKR041W	YKR041W	ORF	518198-518950	+
UTH1	YKR042W	ORF	519527-520624	+
SHB17	YKR043C	ORF	520897-521712	-
UIP5	YKR044W	ORF	522015-523346	+
YKR045C	YKR045C	ORF	523418-523969	-
PLN1	YKR046C	ORF	524223-525074	-
YKR047W	YKR047W	ORF	525257-525562	+
NAP1	YKR048C	ORF	525387-526640	-
FMP46	YKR049C	ORF	526830-527231	-
TRK2	YKR050W	ORF	527815-530484	+
HFL1	YKR051W	ORF	530946-532202	+
MRS4	YKR052C	ORF	532550-533464	-
YSR3	YKR053C	ORF	534067-535281	-
DYN1	YKR054C	ORF	535647-547925	-
RHO4	YKR055W	ORF	548216-549091	+
TRM2	YKR056W	ORF	549448-551367	+
RPS21A	YKR057W	ORF	551657-552242	+
GLG1	YKR058W	ORF	552770-554620	+
TIF1	YKR059W	ORF	554987-556174	+
UTP30	YKR060W	ORF	556518-557342	+
KTR2	YKR061W	ORF	557677-558954	+
SNR42	YNCK0020C	snoRNA gene	559016-559366	-
TFA2	YKR062W	ORF	559666-560652	+
LAS1	YKR063C	ORF	560789-562297	-
OAF3	YKR064W	ORF	562547-565138	+
PAM17	YKR065C	ORF	565299-565892	-
CCP1	YKR066C	ORF	566113-567198	-
GPT2	YKR067W	ORF	567918-570149	+
BET3	YKR068C	ORF	570328-570909	-
MET1	YKR069W	ORF	571612-573393	+
YKR070W	YKR070W	ORF	573574-574632	+
DRE2	YKR071C	ORF	574934-575980	-
SIS2	YKR072C	ORF	576435-578123	-
YKR073C	YKR073C	ORF	578187-578507	-
YNCK0021W	YNCK0021W	tRNA gene	578965-579060	+
AIM29	YKR074W	ORF	579209-579676	+
YKR075C	YKR075C	ORF	579827-580750	-
YKR075W-A	YKR075W-A	ORF	580212-580481	+
ARS1118	ARS1118	ARS	581833-582070	0
ECM4	YKR076W	ORF	582283-583395	+
MSA2	YKR077W	ORF	583653-584744	+
VPS501	YKR078W	ORF	584952-586709	+
TRZ1	YKR079C	ORF	586789-589305	-
MTD1	YKR080W	ORF	590395-591357	+
RPF2	YKR081C	ORF	591506-592540	-
NUP133	YKR082W	ORF	592825-596298	+
DAD2	YKR083C	ORF	596421-596822	-
HBS1	YKR084C	ORF	597055-598890	-
MRPL20	YKR085C	ORF	599094-599681	-
PRP16	YKR086W	ORF	599857-603072	+
OMA1	YKR087C	ORF	603195-604232	-
TVP38	YKR088C	ORF	604405-605418	-
TGL4	YKR089C	ORF	605633-608365	-
PXL1	YKR090W	ORF	608946-611066	+
SRL3	YKR091W	ORF	611525-612265	+
ARS1120	ARS1120	ARS	612378-612463	0
SRP40	YKR092C	ORF	612665-613885	-
PTR2	YKR093W	ORF	615730-617535	+
RPL40B	YKR094C	ORF	617996-618750	-
MLP1	YKR095W	ORF	619805-625432	+
PCC1	YKR095W-A	ORF	625864-626205	+
ESL2	YKR096W	ORF	626793-630380	+
PCK1	YKR097W	ORF	631152-632801	+
UBP11	YKR098C	ORF	633026-635179	-
BAS1	YKR099W	ORF	635851-638286	+
SKG1	YKR100C	ORF	638901-639968	-
SIR1	YKR101W	ORF	640540-642504	+
ARS1123	ARS1123	ARS	642727-642973	0
FLO10	YKR102W	ORF	646356-649865	+
NFT1	YKR103W	ORF	653080-656736	+
YKR104W	YKR104W	ORF	656836-657756	+
VBA5	YKR105C	ORF	658716-660464	-
GEX2	YKR106W	ORF	661442-663289	+
YKRWomega1	YKRWomega1	long terminal repeat	665430-665668	+
TEL11R	TEL11R	telomere	665904-666816	+
